POSTCODE_2018	POSTCODE_2018	LGA_CODE_2018	LGA_NAME_2018	RATIO	PERCENTAGE
2017	2017	17200	Sydney (C)	1	100
2018	2018	10500	Bayside (A)	0.5687298	56.8729781
2018	2018	17200	Sydney (C)	0.4312702	43.1270219
2019	2019	10500	Bayside (A)	1	100
2020	2020	10500	Bayside (A)	1	99.9999999
2021	2021	17200	Sydney (C)	0.3480564	34.8056364
2021	2021	18500	Woollahra (A)	0.6519436	65.194363
2022	2022	18050	Waverley (A)	1	100
2023	2023	18500	Woollahra (A)	1	100
2024	2024	18050	Waverley (A)	1	100
2025	2025	18500	Woollahra (A)	1	100
2026	2026	18050	Waverley (A)	1	100
2027	2027	18500	Woollahra (A)	1	100
2028	2028	18500	Woollahra (A)	1	99.9999998
2029	2029	18050	Waverley (A)	0.4059152	40.5915166
2029	2029	18500	Woollahra (A)	0.5940848	59.4084834
2030	2030	18050	Waverley (A)	0.4795265	47.952645
2030	2030	18500	Woollahra (A)	0.5204735	52.047355
2031	2031	16550	Randwick (C)	1	100
2032	2032	10500	Bayside (A)	0.0722525	7.2252497
2032	2032	16550	Randwick (C)	0.9277475	92.7747503
2033	2033	16550	Randwick (C)	0.9978377	99.7837654
2033	2033	17200	Sydney (C)	0.0021623	0.2162346
2034	2034	16550	Randwick (C)	1	100
2035	2035	10500	Bayside (A)	0.1103896	11.038963
2035	2035	16550	Randwick (C)	0.8896104	88.961037
2036	2036	10500	Bayside (A)	0.209827	20.9827031
2036	2036	16550	Randwick (C)	0.790173	79.0172969
2037	2037	17200	Sydney (C)	1	100
2038	2038	14170	Inner West (A)	0.9956577	99.5657696
2038	2038	17200	Sydney (C)	0.0043423	0.4342304
2039	2039	14170	Inner West (A)	1	100
2040	2040	14170	Inner West (A)	1	100
2041	2041	14170	Inner West (A)	1	99.9999999
2042	2042	14170	Inner West (A)	0.6173526	61.735255
2042	2042	17200	Sydney (C)	0.3826474	38.264745
2043	2043	17200	Sydney (C)	1	100
2044	2044	14170	Inner West (A)	1	99.9999986
2045	2045	14170	Inner West (A)	1	99.9999997
2046	2046	11520	Canada Bay (A)	1	100
2047	2047	11520	Canada Bay (A)	1	100
2048	2048	14170	Inner West (A)	1	100
2049	2049	14170	Inner West (A)	1	100
2050	2050	14170	Inner West (A)	0.3848802	38.4880203
2050	2050	17200	Sydney (C)	0.6151198	61.5119797
2052	2052	16550	Randwick (C)	1	100
2060	2060	15950	North Sydney (A)	1	100
2061	2061	15950	North Sydney (A)	1	100
2062	2062	15950	North Sydney (A)	1	100
2063	2063	18250	Willoughby (C)	1	100
2064	2064	18250	Willoughby (C)	1	100
2065	2065	14700	Lane Cove (A)	0.2301574	23.0157391
2065	2065	15950	North Sydney (A)	0.5011598	50.11598
2065	2065	18250	Willoughby (C)	0.2686828	26.8682809
2066	2066	14700	Lane Cove (A)	0.9205081	92.0508142
2066	2066	18250	Willoughby (C)	0.0794919	7.9491858
2067	2067	16700	Ryde (C)	0.0132097	1.3209689
2067	2067	18250	Willoughby (C)	0.9867903	98.6790311
2068	2068	18250	Willoughby (C)	1	100
2069	2069	14500	Ku-ring-gai (A)	0.6493357	64.9335735
2069	2069	18250	Willoughby (C)	0.3506643	35.0664265
2070	2070	14500	Ku-ring-gai (A)	1	100
2071	2071	14500	Ku-ring-gai (A)	1	100
2072	2072	14500	Ku-ring-gai (A)	1	100
2073	2073	14500	Ku-ring-gai (A)	1	100
2074	2074	14500	Ku-ring-gai (A)	1	100
2075	2075	14500	Ku-ring-gai (A)	1	100
2076	2076	14000	Hornsby (A)	0.3909461	39.0946098
2076	2076	14500	Ku-ring-gai (A)	0.6090539	60.9053902
2077	2077	14000	Hornsby (A)	1	100
2079	2079	14000	Hornsby (A)	1	100
2080	2080	14000	Hornsby (A)	1	100
2081	2081	14000	Hornsby (A)	1	100
2082	2082	14000	Hornsby (A)	1	100
2083	2083	11650	Central Coast (C) (NSW)	0.3052633	30.5263277
2083	2083	14000	Hornsby (A)	0.6947367	69.4736716
2084	2084	15990	Northern Beaches (A)	1	100
2085	2085	15990	Northern Beaches (A)	1	100
2086	2086	15990	Northern Beaches (A)	1	100
2087	2087	15990	Northern Beaches (A)	1	100
2088	2088	15350	Mosman (A)	1	100
2089	2089	15950	North Sydney (A)	1	100
2090	2090	15950	North Sydney (A)	1	100
2091	2091	15350	Mosman (A)	1	100
2092	2092	15990	Northern Beaches (A)	1	100
2093	2093	15990	Northern Beaches (A)	1	100
2094	2094	15990	Northern Beaches (A)	1	100
2095	2095	15990	Northern Beaches (A)	1	100
2096	2096	15990	Northern Beaches (A)	1	100
2097	2097	15990	Northern Beaches (A)	1	100
2099	2099	15990	Northern Beaches (A)	1	100
2100	2100	15990	Northern Beaches (A)	1	100
2101	2101	15990	Northern Beaches (A)	1	100
2102	2102	15990	Northern Beaches (A)	1	100
2103	2103	15990	Northern Beaches (A)	1	100
2104	2104	15990	Northern Beaches (A)	1	100
2105	2105	15990	Northern Beaches (A)	1	100
2106	2106	15990	Northern Beaches (A)	1	100
2107	2107	15990	Northern Beaches (A)	1	100
2108	2108	15990	Northern Beaches (A)	1	100
2109	2109	16700	Ryde (C)	1	100
2110	2110	14100	Hunters Hill (A)	0.9997098	99.9709809
2110	2110	14170	Inner West (A)	0.0002902	0.0290191
2111	2111	14100	Hunters Hill (A)	0.2544271	25.442706
2111	2111	16700	Ryde (C)	0.7455729	74.557294
2112	2112	16700	Ryde (C)	1	100
2113	2113	16700	Ryde (C)	1	100
2114	2114	16260	Parramatta (C)	0.0001666	0.0166585
2114	2114	16700	Ryde (C)	0.9998334	99.9833415
2115	2115	16260	Parramatta (C)	1	100
2116	2116	16260	Parramatta (C)	1	100
2117	2117	16260	Parramatta (C)	1	100
2118	2118	16260	Parramatta (C)	1	100
2119	2119	14000	Hornsby (A)	0.7803346	78.0334626
2119	2119	16260	Parramatta (C)	0.2196654	21.9665374
2120	2120	14000	Hornsby (A)	1	100
2121	2121	14000	Hornsby (A)	0.1594654	15.946544
2121	2121	16260	Parramatta (C)	0.8405346	84.053456
2122	2122	16260	Parramatta (C)	0.1396521	13.9652125
2122	2122	16700	Ryde (C)	0.8603479	86.0347875
2123	2123	16260	Parramatta (C)	1	100
2125	2125	14000	Hornsby (A)	0.2397647	23.9764651
2125	2125	17420	The Hills Shire (A)	0.7602353	76.0235349
2126	2126	14000	Hornsby (A)	1	100
2127	2127	16260	Parramatta (C)	1	99.9999998
2128	2128	16260	Parramatta (C)	1	100
2129	2129	17100	Strathfield (A)	1	100
2130	2130	14170	Inner West (A)	1	100
2131	2131	14170	Inner West (A)	1	100
2132	2132	11300	Burwood (A)	0.5920358	59.2035783
2132	2132	14170	Inner West (A)	0.4079642	40.7964217
2133	2133	11300	Burwood (A)	0.5157866	51.5786625
2133	2133	11570	Canterbury-Bankstown (A)	0.4088709	40.887088
2133	2133	14170	Inner West (A)	0.0753425	7.5342495
2134	2134	11300	Burwood (A)	1	100
2135	2135	11300	Burwood (A)	0.1966955	19.669548
2135	2135	11520	Canada Bay (A)	0.1051387	10.5138657
2135	2135	17100	Strathfield (A)	0.6981659	69.8165863
2136	2136	11300	Burwood (A)	0.5199393	51.9939278
2136	2136	17100	Strathfield (A)	0.4800607	48.0060722
2137	2137	11520	Canada Bay (A)	1	100
2138	2138	11520	Canada Bay (A)	1	100
2139	2139	11520	Canada Bay (A)	1	100
2140	2140	17100	Strathfield (A)	1	99.9999999
2141	2141	12380	Cumberland (A)	0.9991814	99.9181393
2141	2141	16260	Parramatta (C)	0.0008186	0.0818607
2142	2142	12380	Cumberland (A)	0.6799715	67.997149
2142	2142	16260	Parramatta (C)	0.3200285	32.002851
2143	2143	11570	Canterbury-Bankstown (A)	0.51745	51.7449978
2143	2143	12380	Cumberland (A)	0.48255	48.2550022
2144	2144	12380	Cumberland (A)	1	100
2145	2145	12380	Cumberland (A)	0.7617849	76.1784915
2145	2145	16260	Parramatta (C)	0.2382151	23.8215085
2146	2146	10750	Blacktown (C)	0.2860185	28.6018526
2146	2146	12380	Cumberland (A)	0.1056537	10.5653739
2146	2146	16260	Parramatta (C)	0.6083277	60.8327735
2147	2147	10750	Blacktown (C)	0.9999175	99.9917502
2148	2148	10750	Blacktown (C)	1	100
2150	2150	16260	Parramatta (C)	1	100
2151	2151	16260	Parramatta (C)	0.9743631	97.4363142
2151	2151	17420	The Hills Shire (A)	0.0256369	2.5636858
2152	2152	16260	Parramatta (C)	1	100
2153	2153	16260	Parramatta (C)	0.2235036	22.3503595
2153	2153	17420	The Hills Shire (A)	0.7764964	77.6496405
2154	2154	14000	Hornsby (A)	0.1447625	14.4762478
2154	2154	17420	The Hills Shire (A)	0.8552375	85.5237522
2155	2155	10750	Blacktown (C)	0.1919106	19.1910586
2155	2155	17420	The Hills Shire (A)	0.8080894	80.8089414
2156	2156	14000	Hornsby (A)	0.0259122	2.5912159
2156	2156	17420	The Hills Shire (A)	0.9740878	97.4087841
2157	2157	14000	Hornsby (A)	0.4570429	45.7042934
2157	2157	17420	The Hills Shire (A)	0.5429571	54.2957066
2158	2158	14000	Hornsby (A)	0.627913	62.7913044
2158	2158	17420	The Hills Shire (A)	0.372087	37.2086956
2159	2159	14000	Hornsby (A)	1	100
2160	2160	12380	Cumberland (A)	1	99.9999999
2161	2161	12380	Cumberland (A)	0.8646904	86.469044
2161	2161	12850	Fairfield (C)	0.1353096	13.530956
2162	2162	11570	Canterbury-Bankstown (A)	0.9611981	96.1198128
2162	2162	12380	Cumberland (A)	0.0388019	3.8801872
2163	2163	11570	Canterbury-Bankstown (A)	0.4165535	41.6553503
2163	2163	12850	Fairfield (C)	0.5834465	58.3446497
2164	2164	12380	Cumberland (A)	0.0776224	7.7622377
2164	2164	12850	Fairfield (C)	0.9223776	92.2377623
2165	2165	12380	Cumberland (A)	0.0039842	0.3984215
2165	2165	12850	Fairfield (C)	0.9960158	99.6015785
2166	2166	12850	Fairfield (C)	1	100
2167	2167	11500	Campbelltown (C) (NSW)	1	100
2168	2168	14900	Liverpool (C)	1	100
2170	2170	12850	Fairfield (C)	0.0898066	8.980662
2170	2170	14900	Liverpool (C)	0.910176	91.0175998
2171	2171	14900	Liverpool (C)	1	100
2172	2172	14900	Liverpool (C)	0.7891911	78.9191084
2172	2172	17150	Sutherland Shire (A)	0.2108089	21.0808916
2173	2173	14900	Liverpool (C)	1	99.9999997
2174	2174	14900	Liverpool (C)	1	100
2175	2175	12850	Fairfield (C)	1	100
2176	2176	12850	Fairfield (C)	1	100
2177	2177	12850	Fairfield (C)	1	100
2178	2178	12850	Fairfield (C)	0.184667	18.4667027
2178	2178	14900	Liverpool (C)	0.3920637	39.2063658
2178	2178	16350	Penrith (C)	0.4232693	42.3269315
2179	2179	11450	Camden (A)	0.5143152	51.4315198
2179	2179	11500	Campbelltown (C) (NSW)	0.010871	1.0870977
2179	2179	14900	Liverpool (C)	0.4748138	47.4813825
2190	2190	11570	Canterbury-Bankstown (A)	0.9390732	93.9073191
2190	2190	17100	Strathfield (A)	0.0609268	6.0926809
2191	2191	11570	Canterbury-Bankstown (A)	0.7751067	77.5106734
2191	2191	17100	Strathfield (A)	0.2248933	22.4893266
2192	2192	11570	Canterbury-Bankstown (A)	1	100
2193	2193	11570	Canterbury-Bankstown (A)	0.9638491	96.38491
2193	2193	14170	Inner West (A)	0.0361509	3.61509
2194	2194	11570	Canterbury-Bankstown (A)	1	100
2195	2195	11570	Canterbury-Bankstown (A)	1	100
2196	2196	11570	Canterbury-Bankstown (A)	1	100
2197	2197	11570	Canterbury-Bankstown (A)	1	100
2198	2198	11570	Canterbury-Bankstown (A)	1	100
2199	2199	11570	Canterbury-Bankstown (A)	1	100
2200	2200	11570	Canterbury-Bankstown (A)	1	100
2203	2203	14170	Inner West (A)	1	100
2204	2204	14170	Inner West (A)	1	100
2205	2205	10500	Bayside (A)	1	100
2206	2206	11570	Canterbury-Bankstown (A)	1	100
2207	2207	10500	Bayside (A)	1	100
2208	2208	10500	Bayside (A)	0.2229358	22.2935783
2208	2208	11570	Canterbury-Bankstown (A)	0.4932408	49.3240781
2208	2208	12930	Georges River (A)	0.2838234	28.3823436
2209	2209	11570	Canterbury-Bankstown (A)	0.3278131	32.781308
2209	2209	12930	Georges River (A)	0.6721869	67.218692
2210	2210	11570	Canterbury-Bankstown (A)	0.2049545	20.4954466
2210	2210	12930	Georges River (A)	0.7950455	79.5045534
2211	2211	11570	Canterbury-Bankstown (A)	1	100
2212	2212	11570	Canterbury-Bankstown (A)	1	100
2213	2213	11570	Canterbury-Bankstown (A)	1	100
2214	2214	11570	Canterbury-Bankstown (A)	1	100
2216	2216	10500	Bayside (A)	1	100
2217	2217	10500	Bayside (A)	0.592718	59.2717992
2217	2217	12930	Georges River (A)	0.407282	40.7282008
2218	2218	10500	Bayside (A)	0.2445847	24.4584718
2218	2218	12930	Georges River (A)	0.7554153	75.5415282
2219	2219	10500	Bayside (A)	0.8029485	80.2948495
2219	2219	12930	Georges River (A)	0.1970515	19.7051505
2220	2220	12930	Georges River (A)	1	100
2221	2221	12930	Georges River (A)	1	100
2222	2222	12930	Georges River (A)	1	100
2223	2223	12930	Georges River (A)	1	100
2224	2224	17150	Sutherland Shire (A)	1	100
2225	2225	17150	Sutherland Shire (A)	1	100
2226	2226	17150	Sutherland Shire (A)	1	100
2227	2227	17150	Sutherland Shire (A)	1	100
2228	2228	17150	Sutherland Shire (A)	1	99.9999999
2229	2229	17150	Sutherland Shire (A)	1	100
2230	2230	17150	Sutherland Shire (A)	1	100
2231	2231	17150	Sutherland Shire (A)	1	100
2232	2232	17150	Sutherland Shire (A)	1	100
2233	2233	17150	Sutherland Shire (A)	1	100
2234	2234	17150	Sutherland Shire (A)	1	100
2250	2250	11650	Central Coast (C) (NSW)	0.997166	99.7165991
2250	2250	11720	Cessnock (C)	0.002834	0.2834009
2251	2251	11650	Central Coast (C) (NSW)	1	100
2256	2256	11650	Central Coast (C) (NSW)	1	100
2257	2257	11650	Central Coast (C) (NSW)	1	100
2258	2258	11650	Central Coast (C) (NSW)	1	100
2259	2259	11650	Central Coast (C) (NSW)	0.9407762	94.0776171
2259	2259	14650	Lake Macquarie (C)	0.0592238	5.9223829
2260	2260	11650	Central Coast (C) (NSW)	1	100
2261	2261	11650	Central Coast (C) (NSW)	1	100
2262	2262	11650	Central Coast (C) (NSW)	1	100
2263	2263	11650	Central Coast (C) (NSW)	1	100
2264	2264	14650	Lake Macquarie (C)	1	100
2265	2265	14650	Lake Macquarie (C)	1	100
2267	2267	14650	Lake Macquarie (C)	1	100
2278	2278	14650	Lake Macquarie (C)	1	100
2280	2280	14650	Lake Macquarie (C)	1	100
2281	2281	14650	Lake Macquarie (C)	1	100
2282	2282	14650	Lake Macquarie (C)	1	100
2283	2283	14650	Lake Macquarie (C)	1	100
2284	2284	14650	Lake Macquarie (C)	1	100
2285	2285	14650	Lake Macquarie (C)	1	100
2286	2286	14650	Lake Macquarie (C)	1	100
2287	2287	14650	Lake Macquarie (C)	0.0333924	3.3392377
2287	2287	15900	Newcastle (C)	0.9666076	96.6607623
2289	2289	14650	Lake Macquarie (C)	0.2478479	24.7847931
2289	2289	15900	Newcastle (C)	0.7521521	75.2152069
2290	2290	14650	Lake Macquarie (C)	1	100
2291	2291	15900	Newcastle (C)	1	100
2292	2292	15900	Newcastle (C)	1	100
2293	2293	15900	Newcastle (C)	1	100
2294	2294	15900	Newcastle (C)	1	100
2295	2295	15900	Newcastle (C)	0.6007145	60.0714454
2295	2295	16400	Port Stephens (A)	0.3992855	39.9285546
2296	2296	15900	Newcastle (C)	1	100
2297	2297	15900	Newcastle (C)	1	100
2298	2298	15900	Newcastle (C)	1	100
2299	2299	15900	Newcastle (C)	1	100
2300	2300	15900	Newcastle (C)	1	100
2302	2302	15900	Newcastle (C)	1	100
2303	2303	15900	Newcastle (C)	1	100
2304	2304	15900	Newcastle (C)	1	100
2305	2305	14650	Lake Macquarie (C)	0.1203868	12.0386844
2305	2305	15900	Newcastle (C)	0.8796132	87.9613156
2306	2306	14650	Lake Macquarie (C)	1	100
2307	2307	15900	Newcastle (C)	1	100
2308	2308	15900	Newcastle (C)	1	100
2311	2311	12700	Dungog (A)	1	100
2312	2312	15240	Mid-Coast (A)	1	100
2314	2314	16400	Port Stephens (A)	1	100
2315	2315	16400	Port Stephens (A)	1	100
2316	2316	16400	Port Stephens (A)	1	100
2317	2317	16400	Port Stephens (A)	1	100
2318	2318	16400	Port Stephens (A)	1	100
2319	2319	16400	Port Stephens (A)	1	100
2320	2320	11720	Cessnock (C)	0.0285734	2.8573439
2320	2320	12700	Dungog (A)	0.0006366	0.0636584
2320	2320	15050	Maitland (C)	0.9277627	92.7762723
2320	2320	16400	Port Stephens (A)	0.0391788	3.9178818
2320	2320	17000	Singleton (A)	0.0038484	0.3848437
2321	2321	11720	Cessnock (C)	0.1995063	19.9506337
2321	2321	12700	Dungog (A)	0.1576094	15.7609404
2321	2321	15050	Maitland (C)	0.5363988	53.6398845
2321	2321	16400	Port Stephens (A)	0.1064854	10.6485415
2322	2322	11720	Cessnock (C)	0.0157561	1.5756137
2322	2322	15050	Maitland (C)	0.6773512	67.7351189
2322	2322	15900	Newcastle (C)	0.2915156	29.1515557
2322	2322	16400	Port Stephens (A)	0.0153771	1.5377117
2323	2323	11720	Cessnock (C)	0.0581637	5.816372
2323	2323	14650	Lake Macquarie (C)	0.0041546	0.4154554
2323	2323	15050	Maitland (C)	0.9376817	93.7681726
2324	2324	15050	Maitland (C)	0.0140993	1.4099348
2324	2324	15240	Mid-Coast (A)	0.2336536	23.3653646
2324	2324	16400	Port Stephens (A)	0.752247	75.2247006
2325	2325	11720	Cessnock (C)	0.999368	99.9367957
2325	2325	17000	Singleton (A)	0.000632	0.0632043
2326	2326	11720	Cessnock (C)	0.9822161	98.2216123
2326	2326	15050	Maitland (C)	0.0177839	1.7783877
2327	2327	11720	Cessnock (C)	1	100
2328	2328	15650	Muswellbrook (A)	1	100
2329	2329	17620	Upper Hunter Shire (A)	0.9760994	97.6099423
2329	2329	18020	Warrumbungle Shire (A)	0.0239006	2.3900577
2330	2330	13800	Hawkesbury (C)	0.0001478	0.0147769
2330	2330	15650	Muswellbrook (A)	0.0088661	0.8866122
2330	2330	17000	Singleton (A)	0.9909861	99.0986108
2331	2331	17000	Singleton (A)	1	100
2333	2333	15650	Muswellbrook (A)	0.9837648	98.3764808
2333	2333	17620	Upper Hunter Shire (A)	0.0162352	1.623519
2334	2334	11720	Cessnock (C)	0.9775281	97.7528094
2334	2334	15050	Maitland (C)	0.0224719	2.2471906
2335	2335	11720	Cessnock (C)	0.5971095	59.7109484
2335	2335	15050	Maitland (C)	0.0220851	2.2085078
2335	2335	17000	Singleton (A)	0.3808054	38.0805438
2336	2336	15650	Muswellbrook (A)	0.0091743	0.9174313
2336	2336	17620	Upper Hunter Shire (A)	0.9908257	99.0825687
2337	2337	17620	Upper Hunter Shire (A)	1	99.9999999
2338	2338	14920	Liverpool Plains (A)	0.0469613	4.6961319
2338	2338	17310	Tamworth Regional (A)	0.0255525	2.5552479
2338	2338	17620	Upper Hunter Shire (A)	0.9274862	92.7486202
2339	2339	14920	Liverpool Plains (A)	1	100
2340	2340	13550	Gunnedah (A)	0.0071516	0.715159
2340	2340	17310	Tamworth Regional (A)	0.9927669	99.276691
2341	2341	14920	Liverpool Plains (A)	1	100
2342	2342	13550	Gunnedah (A)	0.2410148	24.1014809
2342	2342	14920	Liverpool Plains (A)	0.7589852	75.8985191
2343	2343	13550	Gunnedah (A)	0.0070225	0.7022474
2343	2343	14920	Liverpool Plains (A)	0.9929775	99.2977526
2344	2344	17310	Tamworth Regional (A)	1	100
2345	2345	17310	Tamworth Regional (A)	1	100
2346	2346	17310	Tamworth Regional (A)	1	100
2347	2347	13660	Gwydir (A)	0.1764706	17.6470562
2347	2347	17310	Tamworth Regional (A)	0.8235294	82.3529438
2350	2350	10130	Armidale Regional (A)	0.9465969	94.6596864
2350	2350	17650	Uralla (A)	0.0534031	5.3403136
2351	2351	10130	Armidale Regional (A)	1	100
2352	2352	17310	Tamworth Regional (A)	1	100
2353	2353	17310	Tamworth Regional (A)	1	100
2354	2354	17310	Tamworth Regional (A)	0.044906	4.4905983
2354	2354	17650	Uralla (A)	0.08897	8.8969967
2354	2354	17850	Walcha (A)	0.866124	86.6124047
2355	2355	17310	Tamworth Regional (A)	1	100
2356	2356	15750	Narrabri (A)	1	100
2357	2357	18020	Warrumbungle Shire (A)	1	100
2358	2358	17650	Uralla (A)	1	100
2359	2359	10130	Armidale Regional (A)	0.0524246	5.2424639
2359	2359	13660	Gwydir (A)	0.1625164	16.2516394
2359	2359	17310	Tamworth Regional (A)	0.0235911	2.3591088
2359	2359	17650	Uralla (A)	0.7614679	76.146788
2360	2360	10130	Armidale Regional (A)	0.0069406	0.6940627
2360	2360	13660	Gwydir (A)	0.0013057	0.1305664
2360	2360	14200	Inverell (A)	0.9917537	99.1753709
2361	2361	14200	Inverell (A)	1	100
2365	2365	10130	Armidale Regional (A)	0.8982277	89.8227679
2365	2365	13010	Glen Innes Severn (A)	0.0864662	8.6466187
2365	2365	14200	Inverell (A)	0.0153061	1.5306128
2369	2369	10130	Armidale Regional (A)	0.8902305	89.0230512
2369	2369	14200	Inverell (A)	0.1097695	10.9769488
2370	2370	10130	Armidale Regional (A)	0.0010444	0.1044386
2370	2370	11730	Clarence Valley (A)	0.0022193	0.2219323
2370	2370	13010	Glen Innes Severn (A)	0.9847258	98.4725843
2370	2370	14200	Inverell (A)	0.0120104	1.2010448
2371	2371	13010	Glen Innes Severn (A)	0.816309	81.6309037
2371	2371	14200	Inverell (A)	0.0214592	2.1459227
2371	2371	17400	Tenterfield (A)	0.1622317	16.2231736
2372	2372	17400	Tenterfield (A)	1	100
2379	2379	13550	Gunnedah (A)	0.4967106	49.6710559
2379	2379	18020	Warrumbungle Shire (A)	0.5032894	50.3289441
2380	2380	13550	Gunnedah (A)	1	100
2381	2381	13550	Gunnedah (A)	0.8978903	89.7890273
2381	2381	14920	Liverpool Plains (A)	0.0742616	7.4261621
2381	2381	18020	Warrumbungle Shire (A)	0.0278481	2.7848107
2382	2382	13550	Gunnedah (A)	0.0732459	7.3245927
2382	2382	15750	Narrabri (A)	0.9267541	92.6754073
2386	2386	15750	Narrabri (A)	0.2328767	23.2876672
2386	2386	17900	Walgett (A)	0.7671233	76.7123328
2387	2387	15300	Moree Plains (A)	0.1269036	12.6903553
2387	2387	15750	Narrabri (A)	0.0761421	7.6142132
2387	2387	17900	Walgett (A)	0.7969543	79.6954315
2388	2388	15750	Narrabri (A)	0.9802091	98.0209084
2388	2388	17900	Walgett (A)	0.0197909	1.9790908
2390	2390	13660	Gwydir (A)	0.0059347	0.5934717
2390	2390	15300	Moree Plains (A)	0.0052499	0.5249948
2390	2390	15750	Narrabri (A)	0.9888153	98.8815335
2395	2395	18020	Warrumbungle Shire (A)	1	100
2396	2396	18020	Warrumbungle Shire (A)	1	100
2397	2397	15300	Moree Plains (A)	0.1763158	17.6315794
2397	2397	15750	Narrabri (A)	0.8236842	82.3684206
2398	2398	15300	Moree Plains (A)	1	100
2399	2399	13660	Gwydir (A)	0.0685619	6.8561883
2399	2399	15300	Moree Plains (A)	0.9314381	93.1438117
2400	2400	13660	Gwydir (A)	0.007237	0.7237036
2400	2400	15300	Moree Plains (A)	0.992763	99.2762964
2401	2401	13660	Gwydir (A)	0.9657321	96.5732088
2401	2401	15300	Moree Plains (A)	0.0342679	3.4267912
2402	2402	13660	Gwydir (A)	1	100
2403	2403	13660	Gwydir (A)	0.2062415	20.624154
2403	2403	14200	Inverell (A)	0.7937585	79.375846
