"LGA_2011","Local Government Areas - 2011","INDEX_TYPE","Index Type","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",494,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1120,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",39263,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",929,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",133,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",3,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",24,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",33,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",3,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",22,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",889,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1029,,
"10300","Balranald (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",2284,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",946,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",217,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",4,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",39,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",67,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",5,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",44,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",615,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1122,,
"10350","Bankstown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",182366,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",985,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",367,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",7,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",65,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",104,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",7,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",68,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",732,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1136,,
"10470","Bathurst Regional (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",38514,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",951,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",233,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",5,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",42,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",71,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",5,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",47,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",733,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1059,,
"10550","Bega Valley (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",31951,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",942,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",190,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",4,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",34,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",55,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",4,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",36,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",833,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1018,,
"10600","Bellingen (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",12524,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",938,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",172,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",4,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",31,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",48,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",4,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",32,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",842,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1043,,
"10650","Berrigan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",8067,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",974,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",317,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",6,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",57,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",93,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",7,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",61,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",556,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1194,,
"10750","Blacktown (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",301125,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",959,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",251,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",5,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",45,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",77,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",6,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",51,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",807,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1045,,
"10800","Bland (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",5868,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",973,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",315,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",6,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",56,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",92,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",6,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",60,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",812,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1111,,
"10850","Blayney (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",6980,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",1038,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",484,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",9,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",86,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",125,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",9,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",82,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",797,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1165,,
"10900","Blue Mountains (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",75930,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",934,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",158,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",3,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",28,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",40,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",3,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",26,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",858,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1059,,
"10950","Bogan (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",2897,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",936,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",166,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",3,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",30,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",45,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",3,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",30,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",836,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1012,,
"11000","Bombala (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",2411,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",954,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",242,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",5,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",43,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",74,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",5,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",49,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",881,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1080,,
"11050","Boorowa (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",2397,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",985,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",368,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",7,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",66,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",105,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",7,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",69,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",532,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1140,,
"11100","Botany Bay (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",39378,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",934,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",153,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",3,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",28,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",37,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",3,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",25,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",788,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1029,,
"11150","Bourke (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",2870,,
"11200","Brewarrina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",816,,
