,,,Gifts/donations reported by taxpayers - Year ended 30 June,,Method of Travel to Work - Employed Persons - Census,,,,,,,,,,,,,,,,,,,,Households by Type - Census,,,,,Families by Type - Census,,,,,,,,Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census,,,,,,,,Access to Internet at Home - Occupied Private Dwellings - Census,,,Rent and Mortgage Payments - Census,,Unpaid Child Care - Proportion of persons aged 15 years and over - Census,,,,,Unpaid Work - Persons aged 15 years and over - Census,,Count of All Children in Family - Census,Housing Suitability - Occupied private dwellings - Census,,,Dwelling Structure - Private dwellings - Census,,,,,,Tenure Type - Occupied private dwellings - Census,,,,,Household Stress - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census,,,,Homelessness - Census,Commuting to Work - Census,,,
14500,Ku-ring-gai (A),2013,"29,319",272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14500,Ku-ring-gai (A),2014,"28,801",300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14500,Ku-ring-gai (A),2015,"28,714",300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14500,Ku-ring-gai (A),2016,"27,674",300,"9,925",17,"1,139",8,"25,815","1,620",98,136,270,325,283,"1,245","40,872","4,578","15,428","30,468","4,603","4,558",307,"54,920","6,152",593,"31,725","38,476",3,"16,001","2,718","10,280","2,124","1,199",367,"32,676",3.2,"52,513","3,719","30,508",61.3,26.8,5.5,4.9,1.6,93.1,5.4,1.5,"2,809","3,035",62.4,24.6,7.5,0.6,4.8,12.3,28.2,1.9,927,"29,590","5,705","28,271","1,551","8,544",25,84,"38,475",42.1,37.6,17.5,1.2,1.6,91.4,8.6,93.3,6.7,10,10,10,10,10,10,10,10,8.1,12.9,12.1,13.7,7.7
14500,Ku-ring-gai (A),2017,"27,459",300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14550,Kyogle (A),2011,-,-,-,-,13,-,"1,943",172,3,70,25,11,30,231,"2,503",28,23,"2,143",494,338,65,"3,426","1,059",88,"2,455","3,604",2,739,162,"1,118",321,130,38,"2,510",2.9,"3,151",777,"2,742",46.6,31.3,6.9,11.6,3.5,-,-,-,718,"1,325",66.6,17.1,7.9,1.0,7.3,14.8,26.7,1.9,-,-,-,"3,450",34,63,56,-,"3,603",46.5,27.9,22.0,0.9,2.9,91.4,8.6,91.8,8.2,-,-,-,-,-,-,-,-,23.2,-,-,-,-
14550,Kyogle (A),2013,"1,103",104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14550,Kyogle (A),2014,"1,041",115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14550,Kyogle (A),2015,"1,038",130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14550,Kyogle (A),2016,"1,023",125,5,-,17,-,"1,926",127,-,56,18,7,39,184,"2,377",31,31,"2,082",427,327,66,"3,239","1,142",109,"2,274","3,525",2,560,147,"1,142",272,152,38,"2,321",2.8,"2,907",730,"2,767",45.5,30.7,7.2,12.6,4.2,71.0,26.1,3.0,839,"1,280",66.1,14.4,6.9,0.8,11.8,14.1,26.1,1.9,121,"2,641",592,"3,351",22,62,67,26,"3,528",45.8,27.4,22.3,1.1,3.4,93.2,6.8,91.2,8.8,2,2,4,3,1,2,4,2,38.2,25.3,16.0,20.1,9.3
14550,Kyogle (A),2017,"1,080",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14600,Lachlan (A),2011,-,-,-,-,44,-,"1,518",177,-,52,10,14,60,241,"2,116",33,56,"1,722",418,204,79,"2,854",699,48,"1,731","2,474",2,587,111,749,199,80,37,"1,766",3.0,"2,339",494,"1,758",50.4,32.3,7.3,6.9,3.3,-,-,-,458,"1,098",63.0,19.5,8.2,0.9,8.5,12.8,30.4,1.9,-,-,-,"2,374",34,47,19,3,"2,477",43.1,23.0,28.7,1.3,3.7,96.7,3.3,95.8,4.2,-,-,-,-,-,-,-,-,21.6,-,-,-,-
14600,Lachlan (A),2013,696,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14600,Lachlan (A),2014,745,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14600,Lachlan (A),2015,753,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14600,Lachlan (A),2016,724,100,-,-,23,-,"1,484",132,-,51,13,6,40,207,"1,953",28,27,"1,638",257,193,33,"2,472",644,34,"1,522","2,206",2,498,94,657,185,87,27,"1,549",3.0,"1,918",528,"1,566",47.9,33.6,8.0,7.5,3.0,63.6,32.3,4.1,645,"1,153",59.0,18.3,7.3,0.8,14.4,11.2,27.4,2.0,74,"1,662",281,"2,037",12,62,23,70,"2,204",41.2,22.9,30.6,1.0,4.4,97.3,2.7,94.2,5.8,2,3,5,3,2,2,4,2,13.1,35.2,2.9,35.8,3.0
14600,Lachlan (A),2017,712,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14650,Lake Macquarie (C),2011,-,-,532,7,916,13,"58,694","4,533",79,"1,058",526,374,286,"1,349","68,353","1,110","2,115","64,162","2,789","10,097","1,241","83,592","16,828","1,652","52,075","70,560",3,"17,483","4,784","21,127","6,034","3,167",675,"53,261",2.9,"72,739","11,987","55,806",51.0,29.7,7.0,9.1,3.1,-,-,-,"1,099","1,872",63.4,19.6,9.8,1.0,6.2,13.3,16.0,1.8,-,-,-,"60,961","5,113","3,740",700,31,"70,545",38.3,35.3,23.0,0.9,2.5,91.3,8.7,91.6,8.4,-,-,-,-,-,-,-,-,22.1,-,-,-,-
14650,Lake Macquarie (C),2013,"40,741",90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14650,Lake Macquarie (C),2014,"40,449",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14650,Lake Macquarie (C),2015,"40,238",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14650,Lake Macquarie (C),2016,"39,843",100,450,7,801,4,"62,129","3,758",62,898,519,335,321,"1,219","70,502","1,164","1,960","66,872","3,329","9,577",686,"85,264","17,610","1,763","53,698","73,075",3,"18,114","4,983","21,711","5,888","3,672",661,"55,032",2.9,"73,028","14,530","58,379",50.0,30.4,6.8,9.5,3.3,81.3,16.4,2.3,"1,360","1,855",62.7,20.0,10.0,0.9,6.3,13.6,18.0,1.8,"1,644","56,245","11,148","62,390","7,106","2,785",632,162,"73,075",37.7,35.8,23.0,1.1,2.4,93.5,6.5,90.4,9.6,7,7,6,7,8,7,6,8,20.8,19.2,11.8,14.2,8.7
14650,Lake Macquarie (C),2017,"39,341",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14700,Lane Cove (A),2011,-,-,834,8,"2,844",153,"7,500",581,59,48,156,239,69,808,"13,298",926,"4,674","8,553",999,"1,470",145,"16,836","3,025",604,"8,258","11,881",3,"3,670",483,"3,109",588,356,192,"8,395",3.0,"12,246","1,895","9,187",52.2,33.9,4.7,7.2,2.0,-,-,-,"1,845","2,952",65.1,22.5,6.3,0.9,5.3,10.8,24.1,1.8,-,-,-,"5,918",711,"5,186",36,41,"11,892",33.3,33.5,30.6,0.9,1.6,88.7,11.3,90.0,10.0,-,-,-,-,-,-,-,-,23.4,-,-,-,-
14700,Lane Cove (A),2013,"8,787",250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14700,Lane Cove (A),2014,"8,761",270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14700,Lane Cove (A),2015,"8,972",255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14700,Lane Cove (A),2016,"9,023",250,"1,215",3,"3,573",160,"8,368",634,51,46,210,225,93,856,"15,431","1,218","6,082","9,512","1,055","1,482",104,"19,292","3,407",608,"9,512","13,534",3,"4,190",541,"3,760",634,372,171,"9,657",3.0,"13,754","2,754","10,042",52.0,34.8,3.9,7.1,2.2,91.7,6.5,1.7,"2,364","2,870",64.9,22.7,6.0,0.7,5.7,10.6,24.9,1.8,527,"8,469","3,819","5,717",747,"6,984",19,59,"13,526",29.9,32.6,34.9,0.8,1.8,93.2,6.8,88.7,11.3,10,10,10,10,10,10,10,10,16.7,9.2,8.1,16.4,12.3
14700,Lane Cove (A),2017,"9,329",250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14750,Leeton (A),2011,-,-,-,-,16,3,"3,103",314,5,49,15,38,36,238,"3,822",26,14,"3,443",251,451,101,"4,656","1,005",87,"2,698","3,788",3,980,226,"1,021",341,122,36,"2,737",3.1,"3,682",683,"2,828",48.6,33.7,6.9,7.2,3.6,-,-,-,685,"1,399",60.7,19.8,7.9,0.9,10.6,11.9,21.9,2.0,-,-,-,"3,373",160,216,41,5,"3,795",36.4,32.8,27.5,0.4,3.0,93.7,6.3,92.5,7.5,-,-,-,-,-,-,-,-,17.4,-,-,-,-
14750,Leeton (A),2013,"2,882",200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14750,Leeton (A),2014,"2,960",200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14750,Leeton (A),2015,"3,047",200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14750,Leeton (A),2016,"3,083",200,4,-,7,-,"3,405",272,4,34,14,34,24,207,"3,998",13,14,"3,694",243,367,73,"4,705","1,092",94,"2,690","3,868",3,904,232,"1,116",292,148,37,"2,731",3.0,"3,649",771,"2,977",48.3,34.1,7.1,7.1,3.4,72.7,23.7,3.7,844,"1,461",61.8,17.8,8.2,0.5,11.8,11.7,23.0,1.9,91,"3,069",496,"3,380",196,214,36,37,"3,863",35.6,30.8,29.0,0.5,4.1,95.6,4.4,92.4,7.6,4,4,2,5,4,3,1,5,27.8,12.2,3.6,11.1,3.6
14750,Leeton (A),2017,"3,056",200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14850,Lismore (C),2011,-,-,8,3,109,6,"12,180","1,173",40,309,157,119,117,709,"14,929",175,157,"13,519","1,096","2,033",258,"18,495","4,488",811,"11,048","16,342",2,"3,613",712,"4,376","1,720",653,164,"11,244",2.9,"13,499","3,480","13,811",42.8,36.9,5.8,10.8,3.7,-,-,-,974,"1,579",65.0,19.2,8.0,1.4,6.3,13.2,23.0,1.9,-,-,-,"13,875",907,"1,216",332,11,"16,341",36.0,32.3,28.6,0.8,2.3,89.9,10.1,87.3,12.7,-,-,-,-,-,-,-,-,66.3,-,-,-,-
14850,Lismore (C),2013,"7,251",104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14850,Lismore (C),2014,"7,223",110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14850,Lismore (C),2015,"7,132",120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14850,Lismore (C),2016,"6,927",120,6,3,101,3,"12,636",981,25,223,117,104,105,628,"14,929",139,154,"13,756","1,114","1,784",200,"18,168","4,754",764,"10,672","16,195",2,"3,216",824,"4,346","1,640",729,169,"10,918",2.9,"12,753","3,640","14,091",41.1,37.8,5.7,11.5,3.9,79.0,18.0,3.1,"1,139","1,547",63.7,17.8,7.6,1.1,9.9,13.2,23.2,1.8,463,"11,894","2,827","13,407","1,543",754,393,91,"16,188",35.9,31.3,28.9,0.9,3.0,93.1,6.9,86.7,13.3,4,4,6,3,4,4,6,2,71.5,14.0,7.3,17.7,9.9
14850,Lismore (C),2017,"7,043",120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14870,Lithgow (C),2011,-,-,49,-,37,4,"5,430",437,45,128,22,22,31,349,"6,550",70,122,"5,925",324,984,132,"8,060","2,394",178,"5,223","7,785",2,"1,624",420,"2,207",651,326,95,"5,305",2.9,"6,879","1,436","6,054",47.0,32.3,7.0,10.0,3.7,-,-,-,764,"1,626",63.3,17.9,7.7,1.1,10.0,11.7,17.5,1.9,-,-,-,"7,048",420,228,77,6,"7,779",40.2,31.2,24.3,0.8,3.5,93.4,6.6,91.5,8.5,-,-,-,-,-,-,-,-,18.2,-,-,-,-
14870,Lithgow (C),2013,"4,266",88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14870,Lithgow (C),2014,"4,412",88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14870,Lithgow (C),2015,"4,196",92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14870,Lithgow (C),2016,"4,078",80,53,-,24,-,"5,371",333,21,108,18,23,36,366,"6,353",75,121,"5,774",356,904,111,"7,798","2,561",188,"5,114","7,862",2,"1,477",468,"2,200",636,369,70,"5,215",2.9,"6,616","1,498","6,370",45.4,33.1,7.0,10.7,3.9,71.8,24.7,3.4,972,"1,558",60.7,16.3,8.0,0.7,14.4,12.4,18.4,1.8,183,"6,125","1,113","6,766",537,137,347,72,"7,859",41.8,29.3,24.6,1.0,3.3,95.3,4.7,89.9,10.1,2,2,1,3,2,2,1,2,29.0,22.3,9.8,21.8,9.4
14870,Lithgow (C),2017,"4,034",85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14900,Liverpool (C),2011,-,-,"4,254",4,"1,228",6,"47,735","4,317",106,"1,348",239,249,395,"1,661","61,554","4,086","9,271","54,858","1,855","5,445","1,627","74,567","8,596",977,"44,018","53,596",3,"21,322","5,094","11,056","5,443","3,028",606,"46,564",3.4,"67,488","6,234","53,224",52.9,32.0,4.6,6.9,3.6,-,-,-,"1,245","2,207",62.6,22.1,5.8,0.6,8.9,11.2,9.5,2.0,-,-,-,"40,344","6,353","6,763",87,47,"53,594",24.1,41.9,30.4,0.6,3.1,83.3,16.7,87.8,12.2,-,-,-,-,-,-,-,-,43.3,-,-,-,-
14900,Liverpool (C),2013,"32,972",120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14900,Liverpool (C),2014,"34,676",135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14900,Liverpool (C),2015,"36,342",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14900,Liverpool (C),2016,"37,084",150,"5,641",4,"1,314",6,"54,561","4,157",111,"1,236",274,166,372,"1,661","69,508","5,182","11,676","62,385","2,530","5,608","1,080","83,905","9,208","1,029","48,556","58,786",3,"23,535","5,956","12,021","5,849","3,593",800,"51,746",3.4,"73,087","8,423","61,824",51.8,32.7,4.5,7.2,3.8,82.4,14.3,3.4,"1,567","2,199",63.5,21.8,5.7,0.5,8.5,11.9,11.0,2.0,"4,447","38,015","12,525","44,395","6,157","7,772",124,325,"58,773",24.1,40.0,32.0,0.7,3.2,87.8,12.2,85.5,14.5,4,6,5,8,4,7,5,8,51.7,18.4,16.3,18.2,12.3
14900,Liverpool (C),2017,"37,310",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14920,Liverpool Plains (A),2011,-,-,3,-,15,3,"1,743",125,4,85,16,-,41,246,"2,276",19,20,"1,885",398,304,78,"3,081",832,79,"2,040","2,948",2,622,120,947,223,113,41,"2,074",2.8,"2,745",546,"2,079",50.8,29.0,8.1,8.8,3.3,-,-,-,605,"1,345",67.9,17.2,6.4,0.8,7.7,12.8,26.3,1.9,-,-,-,"2,825",44,54,22,6,"2,951",43.0,24.7,28.7,1.2,2.5,94.6,5.4,93.5,6.5,-,-,-,-,-,-,-,-,27.5,-,-,-,-
14920,Liverpool Plains (A),2013,"1,004",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14920,Liverpool Plains (A),2014,984,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14920,Liverpool Plains (A),2015,"1,010",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14920,Liverpool Plains (A),2016,992,106,-,-,8,-,"1,833",110,4,80,9,-,22,200,"2,259",26,16,"1,962",385,298,53,"3,013",875,76,"1,954","2,916",2,569,139,887,239,116,38,"1,991",2.9,"2,561",559,"2,202",48.1,30.4,7.7,9.8,4.2,69.4,27.9,2.5,764,"1,380",63.3,17.8,6.2,0.7,12.1,12.3,25.9,1.9,70,"2,314",369,"2,772",13,88,28,7,"2,908",41.3,25.1,29.3,1.3,2.9,95.2,4.8,93.0,7.0,2,2,2,3,2,2,1,3,21.3,24.7,14.6,21.3,7.7
14920,Liverpool Plains (A),2017,977,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
